Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,1,HIV,No,>10,1909659
Human,1,HIV,Yes,1,1004813
Human,1,HIV,Yes,2,143027
Human,1,HIV,Yes,3,56964
Human,1,HIV,Yes,4,31810
Human,1,HIV,Yes,5,20551
Human,1,HIV,Yes,6,14664
Human,1,HIV,Yes,7,10995
Human,1,HIV,Yes,8,8689
Human,1,HIV,Yes,9,7152
Human,1,HIV,Yes,10,5982
Human,1,HIV,Yes,>10,91271
Human,2,HIV,No,1,401
Human,2,HIV,No,2,1878171
Human,2,HIV,No,3,835708
Human,2,HIV,No,4,442613
Human,2,HIV,No,5,269118
Human,2,HIV,No,6,177234
Human,2,HIV,No,7,125048
Human,2,HIV,No,8,91717
Human,2,HIV,No,9,70571
Human,2,HIV,No,10,55997
Human,2,HIV,No,>10,474020
Human,2,HIV,Yes,2,48855
Human,2,HIV,Yes,3,25283
Human,2,HIV,Yes,4,15460
Human,2,HIV,Yes,5,9970
Human,2,HIV,Yes,6,6833
Human,2,HIV,Yes,7,4913
Human,2,HIV,Yes,8,3718
Human,2,HIV,Yes,9,3065
Human,2,HIV,Yes,10,2342
Human,2,HIV,Yes,>10,24638
Human,3,HIV,No,1,2
Human,3,HIV,No,2,160
Human,3,HIV,No,3,396099
Human,3,HIV,No,4,321093
Human,3,HIV,No,5,235142
Human,3,HIV,No,6,174280
Human,3,HIV,No,7,131464
Human,3,HIV,No,8,102101
Human,3,HIV,No,9,80537
Human,3,HIV,No,10,64519
Human,3,HIV,No,>10,543888
Human,3,HIV,Yes,3,10073
Human,3,HIV,Yes,4,9334
Human,3,HIV,Yes,5,7687
Human,3,HIV,Yes,6,6239
Human,3,HIV,Yes,7,4811
Human,3,HIV,Yes,8,3966
Human,3,HIV,Yes,9,3243
Human,3,HIV,Yes,10,2675
Human,3,HIV,Yes,>10,26020
Human,4,HIV,No,3,40
Human,4,HIV,No,4,92628
Human,4,HIV,No,5,113089
Human,4,HIV,No,6,106996
Human,4,HIV,No,7,94141
Human,4,HIV,No,8,81240
Human,4,HIV,No,9,69627
Human,4,HIV,No,10,59564
Human,4,HIV,No,>10,596218
Human,4,HIV,Yes,4,2218
Human,4,HIV,Yes,5,3007
Human,4,HIV,Yes,6,3154
Human,4,HIV,Yes,7,3080
Human,4,HIV,Yes,8,2775
Human,4,HIV,Yes,9,2598
Human,4,HIV,Yes,10,2269
Human,4,HIV,Yes,>10,28033
Human,5,HIV,No,4,7
Human,5,HIV,No,5,21040
Human,5,HIV,No,6,35048
Human,5,HIV,No,7,41318
Human,5,HIV,No,8,42807
Human,5,HIV,No,9,41602
Human,5,HIV,No,10,39365
Human,5,HIV,No,>10,577068
Human,5,HIV,Yes,5,453
Human,5,HIV,Yes,6,856
Human,5,HIV,Yes,7,1090
Human,5,HIV,Yes,8,1125
Human,5,HIV,Yes,9,1209
Human,5,HIV,Yes,10,1209
Human,5,HIV,Yes,>10,25725
Human,6,HIV,No,5,2
Human,6,HIV,No,6,4361
Human,6,HIV,No,7,9241
Human,6,HIV,No,8,13225
Human,6,HIV,No,9,16199
Human,6,HIV,No,10,17391
Human,6,HIV,No,>10,480794
Human,6,HIV,Yes,6,101
Human,6,HIV,Yes,7,193
Human,6,HIV,Yes,8,287
Human,6,HIV,Yes,9,358
Human,6,HIV,Yes,10,428
Human,6,HIV,Yes,>10,20265
Human,7,HIV,No,7,848
Human,7,HIV,No,8,2236
Human,7,HIV,No,9,3717
Human,7,HIV,No,10,5119
Human,7,HIV,No,>10,366555
Human,7,HIV,Yes,7,15
Human,7,HIV,Yes,8,47
Human,7,HIV,Yes,9,72
Human,7,HIV,Yes,10,98
Human,7,HIV,Yes,>10,14855
Human,8,HIV,No,8,148
Human,8,HIV,No,9,437
Human,8,HIV,No,10,884
Human,8,HIV,No,>10,273200
Human,8,HIV,Yes,8,1
Human,8,HIV,Yes,9,10
Human,8,HIV,Yes,10,11
Human,8,HIV,Yes,>10,10521
Human,9,HIV,No,9,17
Human,9,HIV,No,10,76
Human,9,HIV,No,>10,202533
Human,9,HIV,Yes,>10,7826
Human,10,HIV,No,10,5
Human,10,HIV,No,>10,151554
Human,10,HIV,Yes,>10,5719
Human,11,HIV,No,>10,115049
Human,11,HIV,Yes,>10,4232
Human,12,HIV,No,>10,86382
Human,12,HIV,Yes,>10,3213
Human,13,HIV,No,>10,63693
Human,13,HIV,Yes,>10,2525
Human,14,HIV,No,>10,47230
Human,14,HIV,Yes,>10,1968
Human,15,HIV,No,>10,35303
Human,15,HIV,Yes,>10,1627
Human,16,HIV,No,>10,26574
Human,16,HIV,Yes,>10,1422
Human,17,HIV,No,>10,20286
Human,17,HIV,Yes,>10,1183
Human,18,HIV,No,>10,14731
Human,18,HIV,Yes,>10,845
Human,19,HIV,No,>10,11206
Human,19,HIV,Yes,>10,757
Human,20,HIV,No,>10,7818
Human,20,HIV,Yes,>10,717
Human,21,HIV,No,>10,3533
Human,21,HIV,Yes,>10,426
Human,22,HIV,No,>10,1262
Human,22,HIV,Yes,>10,218
Human,23,HIV,No,>10,329
Human,23,HIV,Yes,>10,90
Human,24,HIV,No,>10,46
Human,24,HIV,Yes,>10,20
Human,1,Healthy/celiac-disease,No,1,13210516
Human,1,Healthy/celiac-disease,No,2,1975035
Human,1,Healthy/celiac-disease,No,3,1089924
Human,1,Healthy/celiac-disease,No,4,638974
Human,1,Healthy/celiac-disease,No,5,382385
Human,1,Healthy/celiac-disease,No,6,234703
Human,1,Healthy/celiac-disease,No,7,148801
Human,1,Healthy/celiac-disease,No,8,97932
Human,1,Healthy/celiac-disease,No,9,67313
Human,1,Healthy/celiac-disease,No,10,46898
Human,1,Healthy/celiac-disease,No,>10,202064
Human,1,Healthy/celiac-disease,Yes,1,328427
Human,1,Healthy/celiac-disease,Yes,2,135248
Human,1,Healthy/celiac-disease,Yes,3,85307
Human,1,Healthy/celiac-disease,Yes,4,53646
Human,1,Healthy/celiac-disease,Yes,5,33894
Human,1,Healthy/celiac-disease,Yes,6,21298
Human,1,Healthy/celiac-disease,Yes,7,14125
Human,1,Healthy/celiac-disease,Yes,8,9599
Human,1,Healthy/celiac-disease,Yes,9,6667
Human,1,Healthy/celiac-disease,Yes,10,4695
Human,1,Healthy/celiac-disease,Yes,>10,20319
Human,2,Healthy/celiac-disease,No,1,317
Human,2,Healthy/celiac-disease,No,2,701079
Human,2,Healthy/celiac-disease,No,3,286140
Human,2,Healthy/celiac-disease,No,4,156147
Human,2,Healthy/celiac-disease,No,5,97447
Human,2,Healthy/celiac-disease,No,6,64984
Human,2,Healthy/celiac-disease,No,7,44349
Human,2,Healthy/celiac-disease,No,8,32067
Human,2,Healthy/celiac-disease,No,9,23462
Human,2,Healthy/celiac-disease,No,10,17813
Human,2,Healthy/celiac-disease,No,>10,97628
Human,2,Healthy/celiac-disease,Yes,2,22746
Human,2,Healthy/celiac-disease,Yes,3,17243
Human,2,Healthy/celiac-disease,Yes,4,13674
Human,2,Healthy/celiac-disease,Yes,5,10315
Human,2,Healthy/celiac-disease,Yes,6,7960
Human,2,Healthy/celiac-disease,Yes,7,5881
Human,2,Healthy/celiac-disease,Yes,8,4275
Human,2,Healthy/celiac-disease,Yes,9,3350
Human,2,Healthy/celiac-disease,Yes,10,2616
Human,2,Healthy/celiac-disease,Yes,>10,15313
Human,3,Healthy/celiac-disease,No,1,1
Human,3,Healthy/celiac-disease,No,2,187
Human,3,Healthy/celiac-disease,No,3,168118
Human,3,Healthy/celiac-disease,No,4,125531
Human,3,Healthy/celiac-disease,No,5,89988
Human,3,Healthy/celiac-disease,No,6,65162
Human,3,Healthy/celiac-disease,No,7,48700
Human,3,Healthy/celiac-disease,No,8,37089
Human,3,Healthy/celiac-disease,No,9,28857
Human,3,Healthy/celiac-disease,No,10,22711
Human,3,Healthy/celiac-disease,No,>10,147678
Human,3,Healthy/celiac-disease,Yes,3,5048
Human,3,Healthy/celiac-disease,Yes,4,5581
Human,3,Healthy/celiac-disease,Yes,5,5239
Human,3,Healthy/celiac-disease,Yes,6,5042
Human,3,Healthy/celiac-disease,Yes,7,4231
Human,3,Healthy/celiac-disease,Yes,8,3650
Human,3,Healthy/celiac-disease,Yes,9,3175
Human,3,Healthy/celiac-disease,Yes,10,2559
Human,3,Healthy/celiac-disease,Yes,>10,20942
Human,4,Healthy/celiac-disease,No,2,5
Human,4,Healthy/celiac-disease,No,3,37
Human,4,Healthy/celiac-disease,No,4,44207
Human,4,Healthy/celiac-disease,No,5,51770
Human,4,Healthy/celiac-disease,No,6,47210
Human,4,Healthy/celiac-disease,No,7,40654
Human,4,Healthy/celiac-disease,No,8,34510
Human,4,Healthy/celiac-disease,No,9,28823
Human,4,Healthy/celiac-disease,No,10,24278
Human,4,Healthy/celiac-disease,No,>10,196183
Human,4,Healthy/celiac-disease,Yes,4,1205
Human,4,Healthy/celiac-disease,Yes,5,1797
Human,4,Healthy/celiac-disease,Yes,6,2012
Human,4,Healthy/celiac-disease,Yes,7,2158
Human,4,Healthy/celiac-disease,Yes,8,2090
Human,4,Healthy/celiac-disease,Yes,9,1914
Human,4,Healthy/celiac-disease,Yes,10,1879
Human,4,Healthy/celiac-disease,Yes,>10,23051
Human,5,Healthy/celiac-disease,No,4,7
Human,5,Healthy/celiac-disease,No,5,11364
Human,5,Healthy/celiac-disease,No,6,18322
Human,5,Healthy/celiac-disease,No,7,21228
Human,5,Healthy/celiac-disease,No,8,21627
Human,5,Healthy/celiac-disease,No,9,20684
Human,5,Healthy/celiac-disease,No,10,19120
Human,5,Healthy/celiac-disease,No,>10,221598
Human,5,Healthy/celiac-disease,Yes,5,259
Human,5,Healthy/celiac-disease,Yes,6,519
Human,5,Healthy/celiac-disease,Yes,7,673
Human,5,Healthy/celiac-disease,Yes,8,749
Human,5,Healthy/celiac-disease,Yes,9,836
Human,5,Healthy/celiac-disease,Yes,10,846
Human,5,Healthy/celiac-disease,Yes,>10,20990
Human,6,Healthy/celiac-disease,No,5,2
Human,6,Healthy/celiac-disease,No,6,2711
Human,6,Healthy/celiac-disease,No,7,5624
Human,6,Healthy/celiac-disease,No,8,7864
Human,6,Healthy/celiac-disease,No,9,9273
Human,6,Healthy/celiac-disease,No,10,9875
Human,6,Healthy/celiac-disease,No,>10,217487
Human,6,Healthy/celiac-disease,Yes,6,57
Human,6,Healthy/celiac-disease,Yes,7,119
Human,6,Healthy/celiac-disease,Yes,8,179
Human,6,Healthy/celiac-disease,Yes,9,240
Human,6,Healthy/celiac-disease,Yes,10,329
Human,6,Healthy/celiac-disease,Yes,>10,16439
Human,7,Healthy/celiac-disease,No,7,592
Human,7,Healthy/celiac-disease,No,8,1529
Human,7,Healthy/celiac-disease,No,9,2440
Human,7,Healthy/celiac-disease,No,10,3298
Human,7,Healthy/celiac-disease,No,>10,189695
Human,7,Healthy/celiac-disease,Yes,7,7
Human,7,Healthy/celiac-disease,Yes,8,31
Human,7,Healthy/celiac-disease,Yes,9,44
Human,7,Healthy/celiac-disease,Yes,10,80
Human,7,Healthy/celiac-disease,Yes,>10,12387
Human,8,Healthy/celiac-disease,No,8,108
Human,8,Healthy/celiac-disease,No,9,331
Human,8,Healthy/celiac-disease,No,10,623
Human,8,Healthy/celiac-disease,No,>10,154925
Human,8,Healthy/celiac-disease,Yes,8,1
Human,8,Healthy/celiac-disease,Yes,9,9
Human,8,Healthy/celiac-disease,Yes,10,8
Human,8,Healthy/celiac-disease,Yes,>10,8991
Human,9,Healthy/celiac-disease,No,9,15
Human,9,Healthy/celiac-disease,No,10,68
Human,9,Healthy/celiac-disease,No,>10,124828
Human,9,Healthy/celiac-disease,Yes,>10,6744
Human,10,Healthy/celiac-disease,No,10,4
Human,10,Healthy/celiac-disease,No,>10,101139
Human,10,Healthy/celiac-disease,Yes,>10,4998
Human,11,Healthy/celiac-disease,No,>10,82961
Human,11,Healthy/celiac-disease,Yes,>10,3790
Human,12,Healthy/celiac-disease,No,>10,66441
Human,12,Healthy/celiac-disease,Yes,>10,2883
Human,13,Healthy/celiac-disease,No,>10,51925
Human,13,Healthy/celiac-disease,Yes,>10,2334
Human,14,Healthy/celiac-disease,No,>10,40454
Human,14,Healthy/celiac-disease,Yes,>10,1848
Human,15,Healthy/celiac-disease,No,>10,31456
Human,15,Healthy/celiac-disease,Yes,>10,1522
Human,16,Healthy/celiac-disease,No,>10,24560
Human,16,Healthy/celiac-disease,Yes,>10,1359
Human,17,Healthy/celiac-disease,No,>10,19299
Human,17,Healthy/celiac-disease,Yes,>10,1141
Human,18,Healthy/celiac-disease,No,>10,14297
Human,18,Healthy/celiac-disease,Yes,>10,825
Human,19,Healthy/celiac-disease,No,>10,11043
Human,19,Healthy/celiac-disease,Yes,>10,745
Human,20,Healthy/celiac-disease,No,>10,7769
Human,20,Healthy/celiac-disease,Yes,>10,714
Human,21,Healthy/celiac-disease,No,>10,3522
Human,21,Healthy/celiac-disease,Yes,>10,426
Human,22,Healthy/celiac-disease,No,>10,1261
Human,22,Healthy/celiac-disease,Yes,>10,218
Human,23,Healthy/celiac-disease,No,>10,329
Human,23,Healthy/celiac-disease,Yes,>10,90
Human,24,Healthy/celiac-disease,No,>10,46
Human,24,Healthy/celiac-disease,Yes,>10,20
Human,1,Light-Chain-Amyloidosis,No,1,1200003
Human,1,Light-Chain-Amyloidosis,No,2,108224
Human,1,Light-Chain-Amyloidosis,No,3,36368
Human,1,Light-Chain-Amyloidosis,No,4,16596
Human,1,Light-Chain-Amyloidosis,No,5,9348
Human,1,Light-Chain-Amyloidosis,No,6,5854
Human,1,Light-Chain-Amyloidosis,No,7,4164
Human,1,Light-Chain-Amyloidosis,No,8,2980
Human,1,Light-Chain-Amyloidosis,No,9,2395
Human,1,Light-Chain-Amyloidosis,No,10,1785
Human,1,Light-Chain-Amyloidosis,No,>10,27216
Human,1,Light-Chain-Amyloidosis,Yes,1,9049
Human,1,Light-Chain-Amyloidosis,Yes,2,1432
Human,1,Light-Chain-Amyloidosis,Yes,3,639
Human,1,Light-Chain-Amyloidosis,Yes,4,381
Human,1,Light-Chain-Amyloidosis,Yes,5,241
Human,1,Light-Chain-Amyloidosis,Yes,6,176
Human,1,Light-Chain-Amyloidosis,Yes,7,123
Human,1,Light-Chain-Amyloidosis,Yes,8,86
Human,1,Light-Chain-Amyloidosis,Yes,9,84
Human,1,Light-Chain-Amyloidosis,Yes,10,54
Human,1,Light-Chain-Amyloidosis,Yes,>10,1126
Human,2,Light-Chain-Amyloidosis,No,1,3
Human,2,Light-Chain-Amyloidosis,No,2,50939
Human,2,Light-Chain-Amyloidosis,No,3,17386
Human,2,Light-Chain-Amyloidosis,No,4,8094
Human,2,Light-Chain-Amyloidosis,No,5,4550
Human,2,Light-Chain-Amyloidosis,No,6,2714
Human,2,Light-Chain-Amyloidosis,No,7,1952
Human,2,Light-Chain-Amyloidosis,No,8,1401
Human,2,Light-Chain-Amyloidosis,No,9,1016
Human,2,Light-Chain-Amyloidosis,No,10,771
Human,2,Light-Chain-Amyloidosis,No,>10,7584
Human,2,Light-Chain-Amyloidosis,Yes,2,766
Human,2,Light-Chain-Amyloidosis,Yes,3,321
Human,2,Light-Chain-Amyloidosis,Yes,4,191
Human,2,Light-Chain-Amyloidosis,Yes,5,137
Human,2,Light-Chain-Amyloidosis,Yes,6,73
Human,2,Light-Chain-Amyloidosis,Yes,7,55
Human,2,Light-Chain-Amyloidosis,Yes,8,37
Human,2,Light-Chain-Amyloidosis,Yes,9,43
Human,2,Light-Chain-Amyloidosis,Yes,10,21
Human,2,Light-Chain-Amyloidosis,Yes,>10,283
Human,3,Light-Chain-Amyloidosis,No,3,15019
Human,3,Light-Chain-Amyloidosis,No,4,10147
Human,3,Light-Chain-Amyloidosis,No,5,6462
Human,3,Light-Chain-Amyloidosis,No,6,4471
Human,3,Light-Chain-Amyloidosis,No,7,3144
Human,3,Light-Chain-Amyloidosis,No,8,2379
Human,3,Light-Chain-Amyloidosis,No,9,1779
Human,3,Light-Chain-Amyloidosis,No,10,1360
Human,3,Light-Chain-Amyloidosis,No,>10,10869
Human,3,Light-Chain-Amyloidosis,Yes,3,246
Human,3,Light-Chain-Amyloidosis,Yes,4,213
Human,3,Light-Chain-Amyloidosis,Yes,5,136
Human,3,Light-Chain-Amyloidosis,Yes,6,102
Human,3,Light-Chain-Amyloidosis,Yes,7,85
Human,3,Light-Chain-Amyloidosis,Yes,8,62
Human,3,Light-Chain-Amyloidosis,Yes,9,43
Human,3,Light-Chain-Amyloidosis,Yes,10,35
Human,3,Light-Chain-Amyloidosis,Yes,>10,364
Human,4,Light-Chain-Amyloidosis,No,3,1
Human,4,Light-Chain-Amyloidosis,No,4,4541
Human,4,Light-Chain-Amyloidosis,No,5,5004
Human,4,Light-Chain-Amyloidosis,No,6,4308
Human,4,Light-Chain-Amyloidosis,No,7,3503
Human,4,Light-Chain-Amyloidosis,No,8,2907
Human,4,Light-Chain-Amyloidosis,No,9,2477
Human,4,Light-Chain-Amyloidosis,No,10,1925
Human,4,Light-Chain-Amyloidosis,No,>10,16885
Human,4,Light-Chain-Amyloidosis,Yes,4,85
Human,4,Light-Chain-Amyloidosis,Yes,5,118
Human,4,Light-Chain-Amyloidosis,Yes,6,78
Human,4,Light-Chain-Amyloidosis,Yes,7,97
Human,4,Light-Chain-Amyloidosis,Yes,8,64
Human,4,Light-Chain-Amyloidosis,Yes,9,63
Human,4,Light-Chain-Amyloidosis,Yes,10,49
Human,4,Light-Chain-Amyloidosis,Yes,>10,510
Human,5,Light-Chain-Amyloidosis,No,4,1
Human,5,Light-Chain-Amyloidosis,No,5,1407
Human,5,Light-Chain-Amyloidosis,No,6,2084
Human,5,Light-Chain-Amyloidosis,No,7,2361
Human,5,Light-Chain-Amyloidosis,No,8,2274
Human,5,Light-Chain-Amyloidosis,No,9,2022
Human,5,Light-Chain-Amyloidosis,No,10,1906
Human,5,Light-Chain-Amyloidosis,No,>10,23009
Human,5,Light-Chain-Amyloidosis,Yes,5,22
Human,5,Light-Chain-Amyloidosis,Yes,6,36
Human,5,Light-Chain-Amyloidosis,Yes,7,46
Human,5,Light-Chain-Amyloidosis,Yes,8,52
Human,5,Light-Chain-Amyloidosis,Yes,9,54
Human,5,Light-Chain-Amyloidosis,Yes,10,40
Human,5,Light-Chain-Amyloidosis,Yes,>10,668
Human,6,Light-Chain-Amyloidosis,No,6,376
Human,6,Light-Chain-Amyloidosis,No,7,736
Human,6,Light-Chain-Amyloidosis,No,8,915
Human,6,Light-Chain-Amyloidosis,No,9,1127
Human,6,Light-Chain-Amyloidosis,No,10,1176
Human,6,Light-Chain-Amyloidosis,No,>10,25965
Human,6,Light-Chain-Amyloidosis,Yes,6,7
Human,6,Light-Chain-Amyloidosis,Yes,7,11
Human,6,Light-Chain-Amyloidosis,Yes,8,15
Human,6,Light-Chain-Amyloidosis,Yes,9,18
Human,6,Light-Chain-Amyloidosis,Yes,10,18
Human,6,Light-Chain-Amyloidosis,Yes,>10,761
Human,7,Light-Chain-Amyloidosis,No,7,79
Human,7,Light-Chain-Amyloidosis,No,8,225
Human,7,Light-Chain-Amyloidosis,No,9,321
Human,7,Light-Chain-Amyloidosis,No,10,488
Human,7,Light-Chain-Amyloidosis,No,>10,26631
Human,7,Light-Chain-Amyloidosis,Yes,8,4
Human,7,Light-Chain-Amyloidosis,Yes,9,7
Human,7,Light-Chain-Amyloidosis,Yes,10,8
Human,7,Light-Chain-Amyloidosis,Yes,>10,750
Human,8,Light-Chain-Amyloidosis,No,8,19
Human,8,Light-Chain-Amyloidosis,No,9,67
Human,8,Light-Chain-Amyloidosis,No,10,87
Human,8,Light-Chain-Amyloidosis,No,>10,25032
Human,8,Light-Chain-Amyloidosis,Yes,9,2
Human,8,Light-Chain-Amyloidosis,Yes,10,1
Human,8,Light-Chain-Amyloidosis,Yes,>10,732
Human,9,Light-Chain-Amyloidosis,No,9,5
Human,9,Light-Chain-Amyloidosis,No,10,14
Human,9,Light-Chain-Amyloidosis,No,>10,22825
Human,9,Light-Chain-Amyloidosis,Yes,>10,672
Human,10,Light-Chain-Amyloidosis,No,10,2
Human,10,Light-Chain-Amyloidosis,No,>10,21393
Human,10,Light-Chain-Amyloidosis,Yes,>10,706
Human,11,Light-Chain-Amyloidosis,No,>10,20638
Human,11,Light-Chain-Amyloidosis,Yes,>10,650
Human,12,Light-Chain-Amyloidosis,No,>10,19422
Human,12,Light-Chain-Amyloidosis,Yes,>10,623
Human,13,Light-Chain-Amyloidosis,No,>10,17681
Human,13,Light-Chain-Amyloidosis,Yes,>10,645
Human,14,Light-Chain-Amyloidosis,No,>10,16895
Human,14,Light-Chain-Amyloidosis,Yes,>10,712
Human,15,Light-Chain-Amyloidosis,No,>10,15059
Human,15,Light-Chain-Amyloidosis,Yes,>10,744
Human,16,Light-Chain-Amyloidosis,No,>10,13544
Human,16,Light-Chain-Amyloidosis,Yes,>10,807
Human,17,Light-Chain-Amyloidosis,No,>10,12222
Human,17,Light-Chain-Amyloidosis,Yes,>10,758
Human,18,Light-Chain-Amyloidosis,No,>10,9744
Human,18,Light-Chain-Amyloidosis,Yes,>10,600
Human,19,Light-Chain-Amyloidosis,No,>10,8745
Human,19,Light-Chain-Amyloidosis,Yes,>10,629
Human,20,Light-Chain-Amyloidosis,No,>10,7079
Human,20,Light-Chain-Amyloidosis,Yes,>10,665
Human,21,Light-Chain-Amyloidosis,No,>10,3378
Human,21,Light-Chain-Amyloidosis,Yes,>10,405
Human,22,Light-Chain-Amyloidosis,No,>10,1241
Human,22,Light-Chain-Amyloidosis,Yes,>10,217
Human,23,Light-Chain-Amyloidosis,No,>10,324
Human,23,Light-Chain-Amyloidosis,Yes,>10,90
Human,24,Light-Chain-Amyloidosis,No,>10,46
Human,24,Light-Chain-Amyloidosis,Yes,>10,20
Human,1,MS,No,1,14024533
Human,1,MS,No,2,1281975
Human,1,MS,No,3,506017
Human,1,MS,No,4,279310
Human,1,MS,No,5,179059
Human,1,MS,No,6,126866
Human,1,MS,No,7,95251
Human,1,MS,No,8,74617
Human,1,MS,No,9,59615
Human,1,MS,No,10,48917
Human,1,MS,No,>10,485005
Human,1,MS,Yes,1,73235
Human,1,MS,Yes,2,15997
Human,1,MS,Yes,3,7756
Human,1,MS,Yes,4,5069
Human,1,MS,Yes,5,3454
Human,1,MS,Yes,6,2621
Human,1,MS,Yes,7,2171
Human,1,MS,Yes,8,1768
Human,1,MS,Yes,9,1384
Human,1,MS,Yes,10,1208
Human,1,MS,Yes,>10,15047
Human,2,MS,No,1,22
Human,2,MS,No,2,518943
Human,2,MS,No,3,194410
Human,2,MS,No,4,96101
Human,2,MS,No,5,57548
Human,2,MS,No,6,38058
Human,2,MS,No,7,27324
Human,2,MS,No,8,20521
Human,2,MS,No,9,15739
Human,2,MS,No,10,12849
Human,2,MS,No,>10,114911
Human,2,MS,Yes,2,6985
Human,2,MS,Yes,3,3226
Human,2,MS,Yes,4,2052
Human,2,MS,Yes,5,1273
Human,2,MS,Yes,6,964
Human,2,MS,Yes,7,638
Human,2,MS,Yes,8,565
Human,2,MS,Yes,9,442
Human,2,MS,Yes,10,338
Human,2,MS,Yes,>10,3847
Human,3,MS,No,2,18
Human,3,MS,No,3,133520
Human,3,MS,No,4,96057
Human,3,MS,No,5,65756
Human,3,MS,No,6,46635
Human,3,MS,No,7,34196
Human,3,MS,No,8,26120
Human,3,MS,No,9,20343
Human,3,MS,No,10,16372
Human,3,MS,No,>10,136220
Human,3,MS,Yes,3,2032
Human,3,MS,Yes,4,1755
Human,3,MS,Yes,5,1348
Human,3,MS,Yes,6,1063
Human,3,MS,Yes,7,785
Human,3,MS,Yes,8,670
Human,3,MS,Yes,9,527
Human,3,MS,Yes,10,428
Human,3,MS,Yes,>10,4400
Human,4,MS,No,3,7
Human,4,MS,No,4,37531
Human,4,MS,No,5,42254
Human,4,MS,No,6,38218
Human,4,MS,No,7,32132
Human,4,MS,No,8,27137
Human,4,MS,No,9,22948
Human,4,MS,No,10,18963
Human,4,MS,No,>10,178631
Human,4,MS,Yes,4,607
Human,4,MS,Yes,5,791
Human,4,MS,Yes,6,804
Human,4,MS,Yes,7,691
Human,4,MS,Yes,8,650
Human,4,MS,Yes,9,584
Human,4,MS,Yes,10,472
Human,4,MS,Yes,>10,5397
Human,5,MS,No,4,4
Human,5,MS,No,5,10179
Human,5,MS,No,6,15875
Human,5,MS,No,7,17924
Human,5,MS,No,8,18009
Human,5,MS,No,9,17279
Human,5,MS,No,10,16021
Human,5,MS,No,>10,209427
Human,5,MS,Yes,5,162
Human,5,MS,Yes,6,299
Human,5,MS,Yes,7,326
Human,5,MS,Yes,8,364
Human,5,MS,Yes,9,341
Human,5,MS,Yes,10,328
Human,5,MS,Yes,>10,6389
Human,6,MS,No,5,1
Human,6,MS,No,6,2403
Human,6,MS,No,7,4852
Human,6,MS,No,8,6832
Human,6,MS,No,9,8082
Human,6,MS,No,10,8491
Human,6,MS,No,>10,211565
Human,6,MS,Yes,6,36
Human,6,MS,Yes,7,69
Human,6,MS,Yes,8,117
Human,6,MS,Yes,9,146
Human,6,MS,Yes,10,164
Human,6,MS,Yes,>10,6250
Human,7,MS,No,7,509
Human,7,MS,No,8,1325
Human,7,MS,No,9,2152
Human,7,MS,No,10,2870
Human,7,MS,No,>10,190953
Human,7,MS,Yes,7,11
Human,7,MS,Yes,8,18
Human,7,MS,Yes,9,28
Human,7,MS,Yes,10,51
Human,7,MS,Yes,>10,5578
Human,8,MS,No,8,111
Human,8,MS,No,9,293
Human,8,MS,No,10,553
Human,8,MS,No,>10,161248
Human,8,MS,Yes,8,1
Human,8,MS,Yes,9,7
Human,8,MS,Yes,10,5
Human,8,MS,Yes,>10,4680
Human,9,MS,No,9,12
Human,9,MS,No,10,57
Human,9,MS,No,>10,134195
Human,9,MS,Yes,>10,3996
Human,10,MS,No,10,4
Human,10,MS,No,>10,110667
Human,10,MS,Yes,>10,3428
Human,11,MS,No,>10,92104
Human,11,MS,Yes,>10,2931
Human,12,MS,No,>10,74130
Human,12,MS,Yes,>10,2434
Human,13,MS,No,>10,57576
Human,13,MS,Yes,>10,2094
Human,14,MS,No,>10,44415
Human,14,MS,Yes,>10,1756
Human,15,MS,No,>10,34091
Human,15,MS,Yes,>10,1540
Human,16,MS,No,>10,26100
Human,16,MS,Yes,>10,1383
Human,17,MS,No,>10,20143
Human,17,MS,Yes,>10,1165
Human,18,MS,No,>10,14686
Human,18,MS,Yes,>10,842
Human,19,MS,No,>10,11199
Human,19,MS,Yes,>10,756
Human,20,MS,No,>10,7808
Human,20,MS,Yes,>10,717
Human,21,MS,No,>10,3533
Human,21,MS,Yes,>10,426
Human,22,MS,No,>10,1262
Human,22,MS,Yes,>10,218
Human,23,MS,No,>10,329
Human,23,MS,Yes,>10,90
Human,24,MS,No,>10,46
Human,24,MS,Yes,>10,20
Human,1,MuSK-MG,No,1,1062486
Human,1,MuSK-MG,No,2,68811
Human,1,MuSK-MG,No,3,34098
Human,1,MuSK-MG,No,4,20961
Human,1,MuSK-MG,No,5,14286
Human,1,MuSK-MG,No,6,10352
Human,1,MuSK-MG,No,7,7773
Human,1,MuSK-MG,No,8,6187
Human,1,MuSK-MG,No,9,4915
Human,1,MuSK-MG,No,10,4042
Human,1,MuSK-MG,No,>10,25885
Human,1,MuSK-MG,Yes,1,17242
Human,1,MuSK-MG,Yes,2,3194
Human,1,MuSK-MG,Yes,3,1901
Human,1,MuSK-MG,Yes,4,1249
Human,1,MuSK-MG,Yes,5,857
Human,1,MuSK-MG,Yes,6,616
Human,1,MuSK-MG,Yes,7,501
Human,1,MuSK-MG,Yes,8,346
Human,1,MuSK-MG,Yes,9,316
Human,1,MuSK-MG,Yes,10,270
Human,1,MuSK-MG,Yes,>10,1870
