Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,>10,3
Human,2,Allergic-Rhinitis-Out-Of-Season,No,1,13
Human,2,Allergic-Rhinitis-Out-Of-Season,No,2,1233
Human,2,Allergic-Rhinitis-Out-Of-Season,No,3,597
Human,2,Allergic-Rhinitis-Out-Of-Season,No,4,285
Human,2,Allergic-Rhinitis-Out-Of-Season,No,5,195
Human,2,Allergic-Rhinitis-Out-Of-Season,No,6,135
Human,2,Allergic-Rhinitis-Out-Of-Season,No,7,73
Human,2,Allergic-Rhinitis-Out-Of-Season,No,8,66
Human,2,Allergic-Rhinitis-Out-Of-Season,No,9,53
Human,2,Allergic-Rhinitis-Out-Of-Season,No,10,35
Human,2,Allergic-Rhinitis-Out-Of-Season,No,>10,278
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,2,61
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,3,29
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,4,23
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,5,10
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,6,7
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,7,6
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,8,7
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,9,2
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,10,2
Human,2,Allergic-Rhinitis-Out-Of-Season,Yes,>10,25
Human,3,Allergic-Rhinitis-Out-Of-Season,No,2,2
Human,3,Allergic-Rhinitis-Out-Of-Season,No,3,313
Human,3,Allergic-Rhinitis-Out-Of-Season,No,4,215
Human,3,Allergic-Rhinitis-Out-Of-Season,No,5,171
Human,3,Allergic-Rhinitis-Out-Of-Season,No,6,121
Human,3,Allergic-Rhinitis-Out-Of-Season,No,7,99
Human,3,Allergic-Rhinitis-Out-Of-Season,No,8,79
Human,3,Allergic-Rhinitis-Out-Of-Season,No,9,60
Human,3,Allergic-Rhinitis-Out-Of-Season,No,10,48
Human,3,Allergic-Rhinitis-Out-Of-Season,No,>10,465
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,3,8
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,4,14
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,5,9
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,6,4
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,7,4
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,8,6
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,9,5
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,10,3
Human,3,Allergic-Rhinitis-Out-Of-Season,Yes,>10,23
Human,4,Allergic-Rhinitis-Out-Of-Season,No,4,90
Human,4,Allergic-Rhinitis-Out-Of-Season,No,5,100
Human,4,Allergic-Rhinitis-Out-Of-Season,No,6,82
Human,4,Allergic-Rhinitis-Out-Of-Season,No,7,77
Human,4,Allergic-Rhinitis-Out-Of-Season,No,8,82
Human,4,Allergic-Rhinitis-Out-Of-Season,No,9,52
Human,4,Allergic-Rhinitis-Out-Of-Season,No,10,64
Human,4,Allergic-Rhinitis-Out-Of-Season,No,>10,670
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,4,1
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,5,4
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,6,1
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,7,1
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,8,2
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,9,3
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,10,5
Human,4,Allergic-Rhinitis-Out-Of-Season,Yes,>10,24
Human,5,Allergic-Rhinitis-Out-Of-Season,No,5,17
Human,5,Allergic-Rhinitis-Out-Of-Season,No,6,35
Human,5,Allergic-Rhinitis-Out-Of-Season,No,7,45
Human,5,Allergic-Rhinitis-Out-Of-Season,No,8,37
Human,5,Allergic-Rhinitis-Out-Of-Season,No,9,46
Human,5,Allergic-Rhinitis-Out-Of-Season,No,10,38
Human,5,Allergic-Rhinitis-Out-Of-Season,No,>10,797
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,5,1
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,6,1
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,7,2
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,8,2
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,9,3
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,10,2
Human,5,Allergic-Rhinitis-Out-Of-Season,Yes,>10,31
Human,6,Allergic-Rhinitis-Out-Of-Season,No,6,8
Human,6,Allergic-Rhinitis-Out-Of-Season,No,7,9
Human,6,Allergic-Rhinitis-Out-Of-Season,No,8,12
Human,6,Allergic-Rhinitis-Out-Of-Season,No,9,15
Human,6,Allergic-Rhinitis-Out-Of-Season,No,10,22
Human,6,Allergic-Rhinitis-Out-Of-Season,No,>10,829
Human,6,Allergic-Rhinitis-Out-Of-Season,Yes,6,1
Human,6,Allergic-Rhinitis-Out-Of-Season,Yes,9,1
Human,6,Allergic-Rhinitis-Out-Of-Season,Yes,10,2
Human,6,Allergic-Rhinitis-Out-Of-Season,Yes,>10,27
Human,7,Allergic-Rhinitis-Out-Of-Season,No,7,1
Human,7,Allergic-Rhinitis-Out-Of-Season,No,8,1
Human,7,Allergic-Rhinitis-Out-Of-Season,No,9,1
Human,7,Allergic-Rhinitis-Out-Of-Season,No,10,9
Human,7,Allergic-Rhinitis-Out-Of-Season,No,>10,816
Human,7,Allergic-Rhinitis-Out-Of-Season,Yes,>10,26
Human,8,Allergic-Rhinitis-Out-Of-Season,No,9,2
Human,8,Allergic-Rhinitis-Out-Of-Season,No,10,1
Human,8,Allergic-Rhinitis-Out-Of-Season,No,>10,772
Human,8,Allergic-Rhinitis-Out-Of-Season,Yes,>10,28
Human,9,Allergic-Rhinitis-Out-Of-Season,No,>10,679
Human,9,Allergic-Rhinitis-Out-Of-Season,Yes,>10,21
Human,10,Allergic-Rhinitis-Out-Of-Season,No,>10,647
Human,10,Allergic-Rhinitis-Out-Of-Season,Yes,>10,20
Human,11,Allergic-Rhinitis-Out-Of-Season,No,>10,672
Human,11,Allergic-Rhinitis-Out-Of-Season,Yes,>10,23
Human,12,Allergic-Rhinitis-Out-Of-Season,No,>10,634
Human,12,Allergic-Rhinitis-Out-Of-Season,Yes,>10,15
Human,13,Allergic-Rhinitis-Out-Of-Season,No,>10,651
Human,13,Allergic-Rhinitis-Out-Of-Season,Yes,>10,16
Human,14,Allergic-Rhinitis-Out-Of-Season,No,>10,642
Human,14,Allergic-Rhinitis-Out-Of-Season,Yes,>10,23
Human,15,Allergic-Rhinitis-Out-Of-Season,No,>10,640
Human,15,Allergic-Rhinitis-Out-Of-Season,Yes,>10,16
Human,16,Allergic-Rhinitis-Out-Of-Season,No,>10,680
Human,16,Allergic-Rhinitis-Out-Of-Season,Yes,>10,22
Human,17,Allergic-Rhinitis-Out-Of-Season,No,>10,650
Human,17,Allergic-Rhinitis-Out-Of-Season,Yes,>10,34
Human,18,Allergic-Rhinitis-Out-Of-Season,No,>10,745
Human,18,Allergic-Rhinitis-Out-Of-Season,Yes,>10,25
Human,19,Allergic-Rhinitis-Out-Of-Season,No,>10,828
Human,19,Allergic-Rhinitis-Out-Of-Season,Yes,>10,36
Human,20,Allergic-Rhinitis-Out-Of-Season,No,>10,929
Human,20,Allergic-Rhinitis-Out-Of-Season,Yes,>10,58
Human,21,Allergic-Rhinitis-Out-Of-Season,No,>10,1050
Human,21,Allergic-Rhinitis-Out-Of-Season,Yes,>10,125
Human,22,Allergic-Rhinitis-Out-Of-Season,No,>10,748
Human,22,Allergic-Rhinitis-Out-Of-Season,Yes,>10,120
Human,23,Allergic-Rhinitis-Out-Of-Season,No,>10,284
Human,23,Allergic-Rhinitis-Out-Of-Season,Yes,>10,79
Human,24,Allergic-Rhinitis-Out-Of-Season,No,>10,46
Human,24,Allergic-Rhinitis-Out-Of-Season,Yes,>10,20
Human,1,Allergy/NoSIT,No,1,14615650
Human,1,Allergy/NoSIT,No,2,2772756
Human,1,Allergy/NoSIT,No,3,1187924
Human,1,Allergy/NoSIT,No,4,623296
Human,1,Allergy/NoSIT,No,5,385091
Human,1,Allergy/NoSIT,No,6,264154
Human,1,Allergy/NoSIT,No,7,193956
Human,1,Allergy/NoSIT,No,8,149284
Human,1,Allergy/NoSIT,No,9,116678
Human,1,Allergy/NoSIT,No,10,94478
Human,1,Allergy/NoSIT,No,>10,687330
Human,1,Allergy/NoSIT,Yes,1,523671
Human,1,Allergy/NoSIT,Yes,2,142677
Human,1,Allergy/NoSIT,Yes,3,59331
Human,1,Allergy/NoSIT,Yes,4,27365
Human,1,Allergy/NoSIT,Yes,5,15090
Human,1,Allergy/NoSIT,Yes,6,9511
Human,1,Allergy/NoSIT,Yes,7,7001
Human,1,Allergy/NoSIT,Yes,8,5343
Human,1,Allergy/NoSIT,Yes,9,4235
Human,1,Allergy/NoSIT,Yes,10,3353
Human,1,Allergy/NoSIT,Yes,>10,30853
Human,2,Allergy/NoSIT,No,1,821
Human,2,Allergy/NoSIT,No,2,550058
Human,2,Allergy/NoSIT,No,3,289313
Human,2,Allergy/NoSIT,No,4,173972
Human,2,Allergy/NoSIT,No,5,114665
Human,2,Allergy/NoSIT,No,6,79970
Human,2,Allergy/NoSIT,No,7,58475
Human,2,Allergy/NoSIT,No,8,44759
Human,2,Allergy/NoSIT,No,9,34946
Human,2,Allergy/NoSIT,No,10,28256
Human,2,Allergy/NoSIT,No,>10,234351
Human,2,Allergy/NoSIT,Yes,1,2
Human,2,Allergy/NoSIT,Yes,2,27364
Human,2,Allergy/NoSIT,Yes,3,17540
Human,2,Allergy/NoSIT,Yes,4,11482
Human,2,Allergy/NoSIT,Yes,5,7428
Human,2,Allergy/NoSIT,Yes,6,4971
Human,2,Allergy/NoSIT,Yes,7,3364
Human,2,Allergy/NoSIT,Yes,8,2586
Human,2,Allergy/NoSIT,Yes,9,1931
Human,2,Allergy/NoSIT,Yes,10,1499
Human,2,Allergy/NoSIT,Yes,>10,11976
Human,3,Allergy/NoSIT,No,1,4
Human,3,Allergy/NoSIT,No,2,187
Human,3,Allergy/NoSIT,No,3,127027
Human,3,Allergy/NoSIT,No,4,111119
Human,3,Allergy/NoSIT,No,5,87732
Human,3,Allergy/NoSIT,No,6,69429
Human,3,Allergy/NoSIT,No,7,55498
Human,3,Allergy/NoSIT,No,8,45642
Human,3,Allergy/NoSIT,No,9,37530
Human,3,Allergy/NoSIT,No,10,30769
Human,3,Allergy/NoSIT,No,>10,296624
Human,3,Allergy/NoSIT,Yes,2,2
Human,3,Allergy/NoSIT,Yes,3,5827
Human,3,Allergy/NoSIT,Yes,4,6013
Human,3,Allergy/NoSIT,Yes,5,5206
Human,3,Allergy/NoSIT,Yes,6,4401
Human,3,Allergy/NoSIT,Yes,7,3579
Human,3,Allergy/NoSIT,Yes,8,2959
Human,3,Allergy/NoSIT,Yes,9,2412
Human,3,Allergy/NoSIT,Yes,10,1958
Human,3,Allergy/NoSIT,Yes,>10,16617
Human,4,Allergy/NoSIT,No,2,3
Human,4,Allergy/NoSIT,No,3,45
Human,4,Allergy/NoSIT,No,4,32690
Human,4,Allergy/NoSIT,No,5,40687
Human,4,Allergy/NoSIT,No,6,40023
